,level_0,index,text,Corrective,Adaptive,Perfective
61,61,227,    v4l/dvb (11537): gspca - m5602-po1030: clear subsampling flag when setting vga mode          signed-off-by: erik andr?n <erik.andren@gmail.com>     signed-off-by: mauro carvalho chehab <mchehab@redhat.com> ,0,0,1
62,62,279,    fix the prefix comparison ,1,0,0
63,63,1568,    [codecompletion] fix completion in string literal interpolation at top-level          mostly this was just returning the parserstatus bits that we got from     parseexprlist from parseexprstringliteral. the rest was just cleaning up     places that didn't handle eof very well  which is important here because     the code completion token is buried in the string literal  so the ,1,0,1
64,64,1032,    [spark-26837][sql] pruning nested fields from object serializers          ## what changes were proposed in this pull request?          in spark-26619  we make change to prune unnecessary individual serializers when serializing objects. this is extension to spark-26619. we can further prune nested fields from object serializers if they are not used.          for example  in foll,0,0,1
65,65,1436,    ath10k: refactor phyerr event handlers          existing phyerr event handlers directly uses phyerr header format     (ie  struct wmi_phyerr and struct wmi_phyerr_event) in the code     exactly on how firmware packs it. this is the problem in 10.4 fw     specific phyerr event handling where it uses different phyerror     header format. before adding 10.4 specific handler  littl,0,0,1
66,66,1051,    shapes now handle radial gradient fills. handled one sprite (new anya attack) export including initializing a container with movie clip arguments for no apparent reason  so loosened spriteparser a bit to handle this. ,1,0,0
67,67,1897,    performance optimization for detection of modified submodules          in the worst case is_submodule_modified() got called three times for     each submodule. the information we got from scanning the whole     submodule tree the first time can be reused instead.          new parameters have been added to diff_change() and diff_addremove()      the information is stored in a ne,0,1,1
68,68,205,    introduce ir and parser support for ml functions.     representing function arguments is still todo.     supporting instructions other than return is also todo.          piperorigin-revid: 202570934 ,0,1,0
69,69,700,    si-6363 removes scala.reflect.base          as the experience has shown  there's no need for a separate layer of reflection     in scala-library.jar. therefore i'm putting an end to it. ,0,0,1
70,70,1791,    update formatting and remove some unnecessary imports ,0,0,1
71,71,111,    rename warn() to warning() to clear the namespace          we want to use warn() as a variant of warn_on()  however a few drivers are     using warn() internally.  this patch renames these to warning() to avoid the     namespace clash.  a few cases were defining but not using the thing  for those     cases i just deleted the definition.          signed-off-by: arjan van de ven ,0,0,1
72,72,1466,    add aliasanalysis to torch::registeroperators() (#21084)          summary:     pull request resolved: https://github.com/pytorch/pytorch/pull/21084          - now aliasanalysiskind can be set using the torch::registeroperators() api     - this also allows us to remove the last place in torch::jit::registeroperators that didn't use c10 yet.          reviewed by: dzhulgakov      ,1,1,0
73,73,1646,    add function maintainaspectratioofinteriorcontent to browserwindow in order to enforce an aspect ratio for an electron window ,0,1,0
74,74,676,"    fix: check for category conflicts in sitesetting validations (#8137)          it was possible to add a category to more than one default group  e.g. ""default categories muted"" and ""default categories watching first post"".          the bug was caused by category validations inadvertently comparing strings and numbers. ",1,0,0
75,75,747,    fix copyright header for edited files ,1,0,0
76,76,1017,    fix current spec failures ,1,0,0
77,77,1759,    api: fixes visibility of project hook          when a user is not authorized to see the list of hooks for a project  he is     still able to access the hooks separately. for example if access to     `get /projects/:id/hooks` fails and returns a `403 unauthorized` error it is     still possible to access a hook directly via `get /projects/:id/hooks/:hook_id`.          fixes acce,1,0,0
78,78,244,    delete trailing whitespace     - #engineeringday     - total replaced: 506  matching files: 118          did not change any files under test/microsoft.aspnet.razor.test/testfiles     - avoiding need to redo hashes ,0,0,1
79,79,1750,    remove unnecessary code. ,0,0,1
80,80,1717,    changed coding standards: indendation is now 4 spaces ,0,0,1
81,81,1640,    feat(browser): use appmodules for bootstrap in the browser          this introduces the `browsermodule` to be used for long form     bootstrap and offline compile bootstrap:          ```     @appmodule({       modules: [browsermodule]        precompile: [maincomponent]        providers: […]  // additional providers       directives: […]  // additional platform directives       ,0,1,0
82,82,936,    fix(router): do not finish bootstrap until all the routes are resolved (#14762)          deprecation:          use `routermodule.forroot(routes  {initialnavigation: 'enabled'})` instead of     `routermodule.forroot(routes  {initialnavigtaion: true})`.          before doing this  move the initialization logic affecting the router     from the bootstrapped component to the boostr,1,0,0
83,83,1505,    remove unused git attributes ident          the $id$ keywords were used in subversion where they can be substituted     with filename  last revision number change  last changed date  and last     user who changed it.          in git this functionality is different and can be done with git attribute     ident. these need to be defined manually for each file in the     .gitattrib,0,0,1
84,84,749,    [scsi] libsas: add an lu reset mechanism to the error handler          after discussion with andmike and dougg  it seems that the purpose of     eh_device_reset_handler is to issue lu resets  and that     eh_bus_reset_handler would be a more appropriate place for a phy reset.          signed-off-by: darrick j. wong <djwong@us.ibm.com>     signed-off-by: james bottomley <james.b,0,1,1
85,85,1339,    relocate projects to spring-boot-project          move projects to better reflect the way that spring boot is released.          the following projects are under `spring-boot-project`:            - `spring-boot`       - `spring-boot-autoconfigure`       - `spring-boot-tools`       - `spring-boot-starters`       - `spring-boot-actuator`       - `spring-boot-actuator-autoconfigur,0,1,1
86,86,1642,    [securitybundle] add functional test for form login with csrf token ,0,1,0
87,87,1751,    fix some format specificers          time_t is of 64 bits type on some systems as well. ,1,0,1
88,88,1084,    [patch] s390: add vmcp interface          add interface to issue vm control program commands.          signed-off-by: martin schwidefsky <schwidefsky@de.ibm.com>     signed-off-by: andrew morton <akpm@osdl.org>     signed-off-by: linus torvalds <torvalds@osdl.org> ,0,1,0
89,89,1458,    improvements identified via static code analysis with cppcheck ,0,0,1
90,90,377,    [tf.data] have experimental_slack fail on nonconforming input pipelines. also updates optimize_dataset_op to fail if any of the optimizers fail (previously  it would log an error but continue).          piperorigin-revid: 251259335 ,1,0,0
91,91,1941,    enumerate fields with gitaly calls           - add a complexity of 1 if gitaly is called at least once      - add an error notification if `calls_gitaly` isn't right for a      particular field ,0,1,0
92,92,974,    small fix ,1,0,0
93,93,631,    internal: remove xcollector.          we don't actually need this interface  we can just run the post-collection     operation once collection is finished on impls that need it.          close #9677 ,0,0,1
94,94,1627,    a big cleanup of settings code.          manage existing settings and add new ones. it's paving the way for     low-fuss scalac preferences so we can exert fine grained config file     based control over compiler behavior. ,0,1,1
95,95,1588,    clean up activerecord code in todoservice          this refactors the todoservice class according to our code reuse     guidelines. the resulting code is a wee bit more verbose  but it allows     us to decouple the column names from the input  resulting in fewer     changes being necessary when we change the schema.          one particular noteworthy line in todoservice is the ,0,0,1
96,96,1966,    remove have_assert_h          the `<assert.h>` header file is part of the standard c89 headers [1] and     on older systems there needed to be also a manual check if header is     present.          since php requires at least c89 manual check and the `have_assert_h`     symbol defined by autoconf in configure.ac can be both removed [2].          this patch also removes unused <,0,0,1
97,97,639,    eeepc-wmi: refine quirks handling          signed-off-by: corentin chary <corentin.chary@gmail.com>     signed-off-by: matthew garrett <mjg@redhat.com> ,0,0,1
98,98,637,    [patch] fix for __generic_file_aio_read() to return 0 on eof          i came across the following problem while running ltp-aiodio testcases from     ltp-full-20050405 on linux-2.6.12-rc3-mm3.  i tried running the tests with     ext3 as well as jfs filesystems.          one or two fsx-linux testcases were hung after some time.  these testcases     were hanging at wait_for_all_a,1,0,0
99,99,245,    assert getexportequalslocalsymbol returns  a defined result (#21831) ,0,0,1
100,100,1039,    cmd/6g  cmd/8g: eliminate short integer arithmetic when possible.          fixes #3909.     fixes #3910.          r=rsc  nigeltao     cc=golang-dev     https://golang.org/cl/6442114 ,1,0,0
101,101,599,    serial: earlycon: add missing spinlock initialization          if an earlycon console driver needs to acquire the uart_port.lock     spinlock for serial console output  and config_debug_spinlock=y:              bug: spinlock bad magic on cpu#0  swapper/0          lock: sci_ports+0x0/0x3480  .magic: 00000000  .owner: <none>/-1  .owner_cpu: 0         cpu: 0 pid: 0 comm: swapper n,1,0,0
102,102,14,    3.x: widen functional interface throws  replace callable with supplier (#6511)          * 3.x: widen functional interface throws  replace callable with supplier          * fix typo and wrong link in supplier  some style cleanup          * some cleanup ,1,0,0
103,103,677,    s390: replace __get_cpu_var uses          __get_cpu_var() is used for multiple purposes in the kernel source. one of     them is address calculation via the form &__get_cpu_var(x).  this calculates     the address for the instance of the percpu variable of the current processor     based on an offset.          other use cases are for storing and retrieving data from the current,0,0,1
104,104,1988,    refactor(core): update migrations descriptions (#33440)          with the next version of the cli we don't need to add logging for the description of the schematic as part of the schematic itself.          this is because now  the cli will print the description defined in the `migrations.json` file.          see: https://github.com/angular/angular-cli/pull/15951          pr clo,0,0,1
105,105,1133,    src/pkg/[n-z]*: gofix -r error -force=error          r=golang-dev  bsiegert  iant     cc=golang-dev     https://golang.org/cl/5294074 ,1,0,0
106,106,1061,"    add support for federated avatars (#3320)          * add support for federated avatars          fixes #3105          removes avatar fetching duplication code     adds an ""enable federated avatar"" checkbox in user settings     (defaults to unchecked)          moves avatar settings all in the same form  making     local and remote avatars mutually exclusive          renames uploa",1,1,1
107,107,1675,    x86: speed up the irq_remapped check in hot pathes          irq_2_iommu is in struct irq_cfg  so we can do the irq_remapped check     based on irq_cfg instead of going through a lookup function. that's     especially interesting in the eoi_ioapic_irq() hotpath.          signed-off-by: thomas gleixner <tglx@linutronix.de>     reviewed-by: ingo molnar <mingo@elte.hu>     acked-by,0,0,1
108,108,1324,    refactoring the collections api to support diff...          refactoring the collections api to support differentiation between     referring to a sequential collection and a parallel collection  and to     support referring to both types of collections.          new set of traits gen* are now superclasses of both their * and par* subclasses. for example  geniterable is a superc,0,0,1
109,109,354,"    - fixed bugs #33431  #33432 (""int"" used instead of ""long"" in parameter parsing) ",1,0,0
110,110,798,    !htp #16101 improve basic directive infrastructure  add more scaladoc  fix smaller problems ,1,0,1
111,111,687,    fix for bug #31710 (return value for mysql_rollback is reverted)     fixed also same behaviour for mysql_commit and mysql_autocommit ,1,0,0
112,112,437,    s390/ipl: add helper functions to create an ipl report          pr: adjusted to the use in kexec_file later.          signed-off-by: martin schwidefsky <schwidefsky@de.ibm.com>     signed-off-by: philipp rudo <prudo@linux.ibm.com>     signed-off-by: martin schwidefsky <schwidefsky@de.ibm.com> ,0,1,1
113,113,1806,    [xla] refactor createmoduleconfig to share code between multiple call-sites.          previously service  localservice and compileonlyservice had their own code to     create a new hlomoduleconfig  with much repetition (and some ommissions);     collect all these uses in a single method.          piperorigin-revid: 163766869 ,0,1,1
114,114,1471,    block: abstract out bvec iterator          immutable biovecs are going to require an explicit iterator. to     implement immutable bvecs  a later patch is going to add a bi_bvec_done     member to this struct; for now  this patch effectively just renames     things.          signed-off-by: kent overstreet <kmo@daterainc.com>     cc: jens axboe <axboe@kernel.dk>     cc: geert uy,0,1,0
115,115,252,    staging:iio: scrap scan_count and ensure all drivers use active_scan_mask          obviously drivers should only use this for pushing to buffers.     they need buffer->scan_mask for pulling from them post demux.          signed-off-by: jonathan cameron <jic23@cam.ac.uk>     acked-by: lars-peter clausen <lars@metafoo.de>     signed-off-by: greg kroah-hartman <gregkh@suse.de> ,0,0,1
116,116,1587,"    workqueue: remove the empty check in too_many_workers()          the commit ea1abd6197d5 (""workqueue: reimplement idle worker rebinding"")     used a trick which simply removes all to-be-bound idle workers from the     idle list and lets them add themselves back after completing rebinding.          and this trick caused the @worker_pool->nr_idle may deviate than the actual     n",0,0,1
117,117,916,    ijkplayer: support get frame at time ,0,1,0
118,118,183,                   1) change default gofmt default settings for                       parsing and printing to new syntax.                            use -oldparser to parse the old syntax                        use -oldprinter to print the old syntax.                         2) change default gofmt formatting settings                       to use tabs for indentation only and to us,0,0,1
119,119,440,    v4l/dvb (3384): separate tv & radio freqs  fix cb/freq transmit order for tuners that need this.          - moved msp_set_matrix to v4l2-common.h     - fix typos and integer overflows in tea5767.c     - split old freq field into a tv_freq and a radio_freq. prevents       that a radio tuner is initialized with a tv frequency or vice versa.     - when switching to radio mode init,1,0,0
120,120,568,    more test cases ,0,1,0
121,121,1950,    setupaction parameter in mvclocalizationservices.addlocalizationservices is never used     fixes #7761 ,1,0,0
122,122,1320,    all: add /api/proxies api for statistics info ,0,1,0
123,123,588,    [spark-4397][core] cleanup 'import sparkcontext._' in core          this pr cleans up `import sparkcontext._` in core for spark-4397(#3262) to prove it really works well.          author: zsxwing <zsxwing@gmail.com>          closes #3530 from zsxwing/spark-4397-cleanup and squashes the following commits:          04e2273 [zsxwing] cleanup 'import sparkcontext._' in core ,0,0,1
124,124,67,    commands: make sure the hugo field is always initialized before it's used          wrap the field to make it accessible after initialization.          fixes #6193 ,1,0,0
125,125,538,    graph: fix for downscaling y-axis format  never downscale when value is zero  fixes #826 ,1,0,0
126,126,82,    ast: remove archetype from abstracttypeparamdecl          there's a bit of a hack to deal with generic typealiases  but     overall this makes things more logical.          this is the last big refactoring before we can allow constrained     extensions to make generic parameters concrete. all that remains     is a small set of changes to sil type lowering  and retooling     som,1,0,1
127,127,20,"    fix(ivy): handle pipes in i18n attributes properly (#30573)          prior to this change we processed binding expression (including bindings with pipes) in i18n attributes before we generate update instruction. as a result  slot offsets for pipebind instructions were calculated incorrectly. now we perform binding expression processing when we generate ""update block"" instructio",1,0,0
128,128,642,    fix nest.map_structure() bug where attr objects were repacked in the wrong order.          piperorigin-revid: 239153412 ,1,0,0
129,129,962,    added @ to all chmod() calls to avoid php warnings (operation not permitted) when using cifs or ntfsa (closes #2125) ,0,0,1
130,130,445,    update libcc for electron/libchromiumcontent#285          this fixes non-client area dpi scaling on recent windows 10 versions.     see discussion in #8786. ,1,0,0
131,131,234,    add error for class exprs w/private properties ,0,1,0
132,132,1524,    * added an en_za company provider  that can generate company registration numbers ,0,1,0
133,133,1984,    fix bug for field presence ,1,0,0
134,134,385,    revision.c: put promisor option in specialized struct          put the allow_exclude_promisor_objects flag in setup_revision_opt. when     it was in rev_info  it was unclear when it was used  since rev_info is     passed to functions that don't use the flag. this resulted in     unnecessary setting of the flag in prune.c  so fix that as well.          signed-off-by: matthew dev,1,0,1
135,135,1874,"    drm/nouveau/nouveau: fix incorrect sizeof on args.src an args.dst          the sizeof is currently on args.src and args.dst and should be on     *args.src and *args.dst. fortunately these sizes just so happen     to be the same size so it worked  however  this should be fixed     and it also cleans up static analysis warnings          addresses-coverity: (""sizeof not portable"")",1,0,1
136,136,1825,    drm/armada: replace drm_framebuffer_reference/unreference() with _get/put()          this patch replace instances of drm_framebuffer_reference/unreference with     *_get/put() suffixes  because get/put is shorter and consistent with the     kernel use of *_get/put suffixes.     this was done with the following coccinelle script:          @r1@     expression e;     @@          (,0,0,1
137,137,1290,    [tf.data] refactoring of performance modeling implementation and adding performance modeling for all core and experimental tf.data kernels.          piperorigin-revid: 219406929 ,0,1,1
138,138,276,    nfc: nci: fix nci_core_conn_create to allowing empty destination          nci_core_conn_create may not have any destination type parameter.          signed-off-by: christophe ricard <christophe-h.ricard@st.com>     signed-off-by: samuel ortiz <sameo@linux.intel.com> ,1,0,0
139,139,1484,    drm/i915/guc: move guc boot param initialization out of xfer          we want to keep ucode xfer functions separate from other     initialization. once separated  add explicit forcewake.          v2: use blitter domain only and add comment (daniele)          suggested-by: joonas lahtinen <joonas.lahtinen@linux.intel.com>     signed-off-by: michal wajdeczko <michal.wajdeczko@int,0,1,1
140,140,1496,    tg3: remove unused cfgspc device members          this patch removes the pci_bist and pci_hdr_type members from the     device structure and removes the code that references them.  they are     not really used.          the patch rounds out the changes by moving the pci_cmd member to plug     a structure hole that would have been created.  on 32-bit systems  this     movement r,0,0,1
141,141,1163,    remove use of deprecated scala features #22581 ,0,0,1
142,142,1517,    fix issue preventing refactoring ordering. ,1,0,0
143,143,1486,    added unix-like piping. allows chaining of function calls where every succeeding call receives as first argument the result of all preceding expressions. ,0,1,0
144,144,1673,"    include multiple versions in clientset     update client-gen to use the term ""internalversion"" rather than ""unversioned"";     leave internal one unqualified;     cleanup client-gen ",0,0,1
145,145,1931,    add frozen_string_literal to spec/features          using the sed script from     https://gitlab.com/gitlab-org/gitlab-ce/issues/59758 ,0,1,0
146,146,1762,    improvements to candle shadow color choice ,0,0,1
147,147,860,    make type checker debug output redirectable          introduce a replaceable typecheckerdebugconsumer for this.               swift svn r9555 ,0,1,0
148,148,0,"    netfilter: xt_log: fix mark logging for ipv6 packets          in dump_ipv6_packet()  the ""recurse"" parameter is zero only if     dumping contents of a packet embedded into an icmpv6 error     message. therefore we want to log packet mark if recurse is     non-zero  not when it is zero.          signed-off-by: michal kubecek <mkubecek@suse.cz>     signed-off-by: pablo neira ayus",1,0,0
149,149,846,    v4l/dvb (6200): cx23885: use a pointer to the required i2c bus in dvb_register function          store a pointer to the required i2c_bus so that we do not put the wrong     analog demod into standby.          signed-off-by: michael krufky <mkrufky@linuxtv.org>     signed-off-by: steven toth <stoth@hauppauge.com>     signed-off-by: mauro carvalho chehab <mchehab@infradead.org> ,1,0,0
150,150,973,    spi/fsl: unnecessary double init_completion removed          the double call to init_completion(&mpc8xxx_spi->done); is not needed     presumably this is a editing mistake only.          signed-off-by: nicholas mc guire <der.herr@hofr.at>     signed-off-by: mark brown <broonie@kernel.org> ,0,0,1
